,product_name,category,current_price,optimal_price,price_elasticity,current_demand,predicted_demand,revenue_impact
P001,Home Product 1,Home,189.30950847689073,179.8440330530462,-1.100759860142018,102.53424657534246,108.49004908384258,100.58015213478939
P002,Sports Product 2,Sports,127.47673217554286,121.10289556676571,-1.3949555744029178,101.99178082191781,109.55690523673773,266.0795255604098
P003,Books Product 3,Books,24.4252050118927,24.4252050118927,-0.6963491812288698,101.27123287671233,101.27123287671233,0.0
P004,Books Product 4,Books,17.76344603856115,17.76344603856115,-0.8701164154804379,100.72602739726027,100.72602739726027,0.0
P005,Home Product 5,Home,188.3663034766607,188.3663034766607,-0.8093004303709713,101.2958904109589,101.2958904109589,0.0
P006,Home Product 6,Home,122.38766457101661,122.38766457101661,-0.9392607712207149,100.81369863013698,100.81369863013698,0.0
P007,Sports Product 7,Sports,115.55964034555012,109.78165832827261,-1.3177128150026132,101.24383561643836,108.32344934357793,192.2266737370046
P008,Books Product 8,Books,23.717459167343275,23.717459167343275,-0.6484280468171001,99.44931506849315,99.44931506849315,0.0
P009,Home Product 9,Home,137.7732769601947,130.88461311218495,-1.0628345803558663,101.28219178082192,106.95700015520488,45.04612559916495
P010,Books Product 10,Books,23.323810928404857,23.323810928404857,-0.9628751292832093,101.40821917808219,101.40821917808219,0.0
P011,Electronics Product 11,Electronics,368.6673861063186,350.23401680100267,-1.1559399806459374,100.46849315068494,106.60561107588116,297.45462472773215
P012,Sports Product 12,Sports,116.46354574444905,110.64036845722659,-1.1493892556774608,101.25479452054795,107.40384902049321,90.70903586307941
P013,Electronics Product 13,Electronics,638.9766882939773,607.0278538792784,-1.1005185891357403,102.43561643835616,108.38434859039954,338.347563800904
P014,Electronics Product 14,Electronics,353.09374975505784,335.43906226730496,-1.086580823301341,101.81917808219178,107.65512021560977,160.01718737903138
P015,Home Product 15,Home,143.85119394417322,143.85119394417322,-0.755238586569438,100.44657534246575,100.44657534246575,0.0
P016,Sports Product 16,Sports,143.1292974500953,135.9728325775905,-1.1813696897115005,103.26849315068493,109.7196712164527,138.14761139548864
P017,Electronics Product 17,Electronics,427.4953180750584,406.12055217130546,-1.320077796609385,101.78082191780823,108.91119611192535,720.2502629181618
P018,Clothing Product 18,Clothing,76.16761016935885,72.3592296608909,-1.4562757203545922,104.0931506849315,112.1663858846231,187.74675378736265
P019,Home Product 19,Home,121.89185464190342,115.79726190980824,-1.1757774170272026,101.74246575342465,108.06730982562578,112.32073324110934
P020,Clothing Product 20,Clothing,78.09677624497847,74.19193743272955,-1.718884144876805,102.74520547945205,112.21530822764265,301.4018044466211
P021,Home Product 21,Home,160.43244709783585,152.41082474294404,-1.0820552385347746,99.95890410958904,105.66369063880128,67.6386401237105
P022,Home Product 22,Home,109.9641316403055,109.9641316403055,-0.8706087290178168,100.31780821917808,100.31780821917808,0.0
P023,Sports Product 23,Sports,102.08615894988893,96.98185100239448,-1.543609334995645,105.67123287671232,114.37808611513599,305.02822967437896
P024,Clothing Product 24,Clothing,103.30526211744073,98.13999901156869,-1.7270028342468209,102.9945205479452,112.53445630708543,404.255488879171
P025,Sports Product 25,Sports,93.56072299431548,88.8826868445997,-1.4270998670917006,103.9972602739726,111.89547861073041,215.51192402327615
P026,Electronics Product 26,Electronics,357.70188666776085,339.8167923343728,-1.0850296120878429,101.26301369863013,107.05855967058814,158.32528953399014
P027,Electronics Product 27,Electronics,413.3044158015115,392.6391950114359,-1.0231806050965078,100.15342465753425,105.55008301554234,49.24696000988479
P028,Books Product 28,Books,20.426455535448248,20.426455535448248,-0.768412219950988,100.92328767123287,100.92328767123287,0.0
P029,Books Product 29,Books,29.4235862429446,29.4235862429446,-0.6636329175663767,98.8986301369863,98.8986301369863,0.0
P030,Clothing Product 30,Clothing,61.64753808243757,58.56516117831569,-1.9898153912867074,105.00821917808219,116.29183045594696,337.1516036241228
P031,Home Product 31,Home,135.5455482272556,135.5455482272556,-0.9071608875052954,100.28219178082192,100.28219178082192,0.0
P032,Sports Product 32,Sports,136.85960278519184,130.01662264593224,-1.3770054514590642,102.94520547945206,110.4792816539289,275.1031424347748
P033,Books Product 33,Books,25.917285295684223,25.917285295684223,-0.5977410733664296,100.63561643835617,100.63561643835617,0.0
P034,Books Product 34,Books,28.483879365891244,28.483879365891244,-0.6173802604790379,101.87945205479453,101.87945205479453,0.0
P035,Books Product 35,Books,25.359455565588966,25.359455565588966,-0.7320249009440629,101.01917808219179,101.01917808219179,0.0
P036,Clothing Product 36,Clothing,76.92340096265694,73.0772309145241,-1.3669777881392262,103.35890410958905,110.86621802794988,151.07779156573906
P037,Electronics Product 37,Electronics,439.20583528895395,417.2455435245062,-1.0691256132611442,103.13150684931507,108.94508132496658,160.8900613953083
P038,Sports Product 38,Sports,103.40888604499023,98.2384417427407,-1.1726338009338435,99.64109589041095,105.81824362652377,91.6446314939476
P039,Books Product 39,Books,20.474849545358218,20.474849545358218,-0.9277038522856604,101.93150684931507,101.93150684931507,0.0
P040,Books Product 40,Books,27.78646517264858,27.78646517264858,-0.8302416976772771,101.02191780821917,101.02191780821917,0.0
P041,Clothing Product 41,Clothing,93.90324672877489,89.20808439233615,-1.756250075749664,106.32054794520548,116.34296459022315,394.88835758203277
P042,Home Product 42,Home,179.13345957277176,179.13345957277176,-0.9634304790560586,100.42465753424658,100.42465753424658,0.0
P043,Books Product 43,Books,22.493290891989297,22.493290891989297,-0.7141753632256488,99.51506849315068,99.51506849315068,0.0
P044,Electronics Product 44,Electronics,444.8292286625372,444.8292286625372,-0.9175964150680204,102.06849315068493,102.06849315068493,0.0
P045,Electronics Product 45,Electronics,541.93223692427,541.93223692427,-0.9155151614774532,101.63287671232877,101.63287671232877,0.0
P046,Sports Product 46,Sports,146.7562137412613,139.41840305419822,-1.1248473396846717,100.91780821917808,106.91172898864166,95.1470900463355
P047,Books Product 47,Books,24.158968201167735,24.158968201167735,-0.78306789625344,99.82739726027397,99.82739726027397,0.0
